scrappedUrl	eventname	startdate	enddate	timing	eventinfo	ticketlist	orgProfile	orgName	orgWeb	logo	sponsor	agendalist	type	category	city	country	venue	event_website	googlePlaceUrl	ContactMail	Speakerlist	online_event
https://opalgroup.net/conference/campus-athletics-facilities-summit-2022/	Campus Athletics Facilities Summit 2022	2022-06-12	2022-06-14		College athletics is a constantly evolving area. Recruiting student athletes is more than just having championships; it’s the academics, the look, the feel and pride of a school. And what reflects an athletic brand more than its facilities?		Opal Group is a global conference organizer catering to top executives and decision makers throughout various industries.	Opal Group	https://opalgroup.net/						Santa Clara	California	Santa Clara Marriott, Santa Clara, CA	https://opalgroup.net/conference/campus-athletics-facilities-summit-2022/	https://www.google.com/maps/place/Santa+Clara+Marriott/@37.3905822,-121.9742264,15z/data=!4m2!3m1!1s0x0:0x19676fb4c9784b45?sa=X&ved=2ahUKEwi10473to_4AhVpgP0HHTXMBsUQ_BJ6BAgkEAU	"[""feedback@opalgroup.net""]"		0
https://opalgroup.net/conference/summer-edition-diversity-equity-inclusion-and-learning-development-executive-summit-2022/	Summer Edition – Diversity, Equity & Inclusion and Learning & Development Executive Summit 2022	2022-06-12	2022-06-14		We believe in creating a memorable, collaborative, and effective experience focused on continuous improvement for Human Resources, Learning & Development, and Talent Management senior executives.		Opal Group is a global conference organizer catering to top executives and decision makers throughout various industries.	Opal Group	https://opalgroup.net/						Philadelphia	Pennsylvania	Loews Hotel, Philadelphia, PA	https://opalgroup.net/conference/summer-edition-diversity-equity-inclusion-and-learning-development-executive-summit-2022/	https://www.google.com/maps/place/Loews+Philadelphia+Hotel/@39.9515991,-75.1602673,15z/data=!4m2!3m1!1s0x0:0x3aa2530ffaa3d3db?sa=X&ved=2ahUKEwib07yCt4_4AhV5gv0HHeLhCucQ_BJ6BAg1EAU	"[""feedback@opalgroup.net""]"		0
https://opalgroup.net/conference/family-office-private-wealth-management-forum-2022/	Family Office & Private Wealth Management Forum 2022	2022-07-18	2022-07-20		As Opal Group’s flagship event, The Family Office & Private Wealth Management Forum has become Opal’s largest family office event in the world. Known for its rich history and magnificent mansions, Newport, RI attracts thousands of delegates each year. The voyage begins with an annual Regatta Cup race, giving delegates an opportunity to find their inner competitor, and race across the harbor. In the course of three days, family offices, private investors, and investment managers navigate their way through the choppy waters of the past recession, while continuing to explore the best ways to map out their portfolios. With over 1000 delegates there is always an opportunity to meet potential clients. Discussions will cover a wide variety of investment topics including direct investing, impact investing, non-correlated assets, and many more. Come join us this July-- the forecast calls for fun, networking, and favorable prospects for preserving your family’s wealth.		Opal Group is a global conference organizer catering to top executives and decision makers throughout various industries.	Opal Group	https://opalgroup.net/						Newport	Rhode Island	Gurney’s Newport Resort & Marina, Newport, RI	https://opalgroup.net/conference/family-office-private-wealth-management-forum-2022/	https://www.google.com/maps/place/Gurney's+Newport+Resort+%26+Marina/@41.4917832,-71.3272407,15z/data=!4m2!3m1!1s0x0:0x648a4636f96a26a3?sa=X&ved=2ahUKEwjV4L6Pt4_4AhX0gf0HHQgRBt4Q_BJ6BAgwEAU	"[""feedback@opalgroup.net""]"		0
https://opalgroup.net/conference/public-funds-summit-east-2022/	Public Funds Summit East 2022	2022-07-18	2022-07-20		Opal Financial Group’s annual public funds conference addresses issues that are critical to the investment success of senior public pension fund officers and trustees in the new millennium. Concerns of funding liabilities for beneficiaries in a world of declining returns yet maintaining a balance between the risk/reward paradigms is center in the mind of many trustees and representatives of pension plans around the country. The exchange of ideas both in and out of the session halls are key in educating and identifying viable alternatives that will address these concerns. We will discuss how surplus returns should affect employee benefit plans; closely examine the processes for selection and evaluation of investment managers. Beyond the investment sphere we also address legal issues facing pension plans, ethic regulations and the importance of on-going education for plan sponsors and their fiduciaries. Although attendance is not limited to those in the public sector, the conference takes aim at topics that are of particular relevance to public pension funds. By focusing on an atmosphere of education rather than sales or marketing, the Public Funds Summit provides a unique environment in which members of the public sector can exchange ideas and learn from other delegates, money managers and consultants. Opal will kick off the event with its Annual Regatta Cup, in which attendees will have the opportunity to work with a professional sailing charter crew while competing against industry peers.		Opal Group is a global conference organizer catering to top executives and decision makers throughout various industries.	Opal Group	https://opalgroup.net/						Newport	Rhode Island	Newport Marriott, Newport, RI	https://opalgroup.net/conference/public-funds-summit-east-2022/	https://www.google.com/maps/place/Newport+Marriott/@41.4901695,-71.3181762,15z/data=!4m2!3m1!1s0x0:0x986fda2823d6f003?sa=X&ved=2ahUKEwjq05yZt4_4AhVsi_0HHQlGAhIQ_BJ6BAg1EAU	"[""feedback@opalgroup.net""]"		0
https://opalgroup.net/conference/emerging-managers-summit-2022/	Emerging Managers Summit 2022	2022-09-12	2022-09-13		The Emerging Managers Summit program highlights the benefits and opportunities for institutional and private wealth investors to invest in new, small, diverse and women owned, emerging and boutique fund managers. In addition to networking with key decision-makers of family offices, endowments, foundations, and pension funds, boutique and new managers will be able to connect and exchange best practice ideas with their peers. Delegates will hear from the nation’s leaders in the new and ever-changing emerging manager market.		Opal Group is a global conference organizer catering to top executives and decision makers throughout various industries.	Opal Group	https://opalgroup.net/						Austin	Texas	Hyatt Regency Austin, Austin, TX	https://opalgroup.net/conference/emerging-managers-summit-2022/	https://www.google.com/maps/place/Hyatt+Regency+Austin/@30.2607308,-97.7471632,15z/data=!4m2!3m1!1s0x0:0x827e1b9c0ba012e3?sa=X&ved=2ahUKEwi5z4Glt4_4AhVshf0HHclcCgQQ_BJ6BAg1EAU	"[""feedback@opalgroup.net""]"		0
https://opalgroup.net/conference/cdao-executive-summit-2022/	CDAO Executive Summit 2022	2022-09-18	2022-09-20		The CDAO Executive Summit is a gathering of C-Suite Executives and Senior Decision Makers from Fortune 1000 and leading enterprise organizations. Our intimate, invitation-only event creates new business relationships and opportunities to benchmark with true peers while focusing on key business challenges.		Opal Group is a global conference organizer catering to top executives and decision makers throughout various industries.	Opal Group	https://opalgroup.net/						Atlanta	Georgia	Atlanta, GA	https://opalgroup.net/conference/cdao-executive-summit-2022/	https://www.google.com/maps/place/Atlanta,+GA,+USA/data=!4m2!3m1!1s0x88f5045d6993098d:0x66fede2f990b630b?sa=X&ved=2ahUKEwjlvP6xt4_4AhWVi_0HHQ4GD2UQ8gF6BAhHEAE	"[""feedback@opalgroup.net""]"		0
https://opalgroup.net/conference/cyber-security-executive-summit-2022/	Cybersecurity Executive Summit 2022	2022-09-18	2022-09-20				Opal Group is a global conference organizer catering to top executives and decision makers throughout various industries.	Opal Group	https://opalgroup.net/						Atlanta	Georgia	Atlanta, GA	https://opalgroup.net/conference/cyber-security-executive-summit-2022/	https://www.google.com/maps/place/Atlanta,+GA,+USA/data=!4m2!3m1!1s0x88f5045d6993098d:0x66fede2f990b630b?sa=X&ved=2ahUKEwjlvP6xt4_4AhWVi_0HHQ4GD2UQ8gF6BAhHEAE	"[""feedback@opalgroup.net""]"		0
https://opalgroup.net/conference/chief-nursing-officer-summit-2022/	Chief Nursing Officer Summit 2022	2022-09-19	2022-09-20		Transforming the Workforce Environment.		Opal Group is a global conference organizer catering to top executives and decision makers throughout various industries.	Opal Group	https://opalgroup.net/						Nashville	Tennessee	Hilton Doubletree Nashville, Nashville, TN	https://opalgroup.net/conference/chief-nursing-officer-summit-2022/		"[""feedback@opalgroup.net""]"		0
https://opalgroup.net/conference/patient-experience-officer-summit-2022/	Patient Experience Officer Summit 2022	2022-09-19	2022-09-20		Transforming the Human Experience.		Opal Group is a global conference organizer catering to top executives and decision makers throughout various industries.	Opal Group	https://opalgroup.net/						Nashville	Tennessee	Hilton Doubletree Nashville, Nashville, TN	https://opalgroup.net/conference/patient-experience-officer-summit-2022/		"[""feedback@opalgroup.net""]"		0
https://opalgroup.net/conference/european-private-wealth-summit-2022/	European Private Wealth Summit 2022	2022-10-10	2022-10-10		The European Private Wealth Summit is held in the charming Grosvenor Square in London, UK. As part of Opal Financial Group's Private Wealth Series, this conference is the premier event in Europe for high net worth individuals, family offices, foundations and other institutional investors. Private investors and asset managers will visit this picturesque setting for a day of engaging discussions on the latest investment trends. The summit will focus on asset allocation, ESG & Impact Investing, private credit, digital assets, niche alternative investments, the outlook of geopolitics & the global economy along with discussions around structuring wealth, family governance and engaging the Next Gen. This event is completely closed-door and invitation-only, and it is designed to enable genuine peer-to-peer learning and networking for the European private wealth & institutional investor community.		Opal Group is a global conference organizer catering to top executives and decision makers throughout various industries.	Opal Group	https://opalgroup.net/						London	United Kingdom	London Marriott Hotel Grosvenor Square, London, UK	https://opalgroup.net/conference/european-private-wealth-summit-2022/	https://www.google.com/maps/place/London+Marriott+Hotel+Grosvenor+Square/@51.5126103,-0.1509128,15z/data=!4m2!3m1!1s0x0:0x964e35ec18d31803?sa=X&ved=2ahUKEwihiorut4_4AhU8_rsIHbl4A9kQ_BJ6BAgXEAU	"[""feedback@opalgroup.net""]"		0
